Well_ID,Vp,K0,Gsat,phi,perm,GR,saturated_to_dry,V_ratio,K_delta,sand_proportion,X,Y
1,2174.0593969473684,36.746391296842106,2.701376814631579,0.22543444778947366,655.0842040488217,34.50313042578947,2.246984571633931,2.1525223736353896,5.583058059055556,0.6244653,33.0,127.0
2,1969.9143472380952,37.543244933,2.0877513090555557,0.267459437631579,1110.546984166074,28.114430740555555,2.315496863647882,2.1117963427997752,4.310510039333334,0.6242173,71.0,53.0
3,1848.63995365,37.64256628052632,1.5475919843,0.29196891725,1504.1137309402181,26.777931617,2.470958466679443,2.183142166316388,3.996850728888889,0.6244871,58.0,186.0
4,2283.346040238095,34.92998986526316,2.669960730842105,0.19985950235,235.84086934904738,44.726998687999995,2.2406361293175765,2.2056126374321288,6.309866244666667,0.62338257,80.0,95.0
5,2099.0208008,36.66999435411765,2.3611916984761905,0.24803482049999998,729.895082300213,31.695925969047618,2.269243688598136,2.133049155716164,4.949884097166667,0.6243135,26.0,141.0
6,1819.2403992,37.636096572999996,1.4659659371764706,0.30305567394736843,1713.3759423301487,25.511520197368423,2.465453901952333,2.1836424363279217,3.8986177444444445,0.62337387,64.0,30.0
7,1909.4075221578946,37.474811554285715,1.5872526106842106,0.28294101778947367,1250.39425183015,27.90717970263158,2.484175645995604,2.1958316850325317,4.3867755888,0.624744,43.0,174.0
8,2323.576114105263,34.109925622105266,2.6500206674761904,0.19001131205263158,183.54895731312527,41.88662528625,2.252877249136998,2.231220207674922,6.973021665833333,0.623823,82.0,66.0
9,2132.7236503333334,36.28417306210526,2.2207892362941175,0.23819312964705883,668.0849132050645,35.534346240000005,2.237402626386282,2.1388998680815914,5.329944492,0.6242712,55.0,111.0
10,1995.6393577142856,37.62733941315789,2.187942154235294,0.2838872617894737,1226.414808328858,27.018526152649997,2.3931930131452033,2.2031381300352795,4.801311737578947,0.6245596,21.0,188.0
11,1957.1307311,36.108916282500005,1.9453857276111113,0.2865737202222223,1036.2727276366452,35.63554181235294,2.2968202750555307,2.1854115879960863,5.113993903882353,0.623606,77.0,20.0
12,1961.5392311428573,37.38912313117647,1.9358603515789472,0.26527737042105265,1044.3891685733256,28.6423526445,2.382499036660258,2.1572399635550035,4.328957887470588,0.6244931,40.0,162.0
13,2147.52923585,36.59083898473684,2.4096215565238093,0.2316722358095238,665.22280136112,35.41194518588235,2.229301357818955,2.110323255792228,5.139815942533334,0.62342715,68.0,87.0
14,2095.9342530000004,36.9455364225,2.3117227793,0.2421346668095238,739.1121095331197,31.64540257952381,2.213286496098907,2.122014772396474,5.170842829470589,0.6245119,52.0,133.0
15,2353.1044665263157,34.50035567,2.6635015368,0.20053685352941178,200.5860421258694,47.72556142222223,2.258459702702106,2.270265990183947,6.886294850571429,0.62333655,84.0,58.0
16,2230.6336399444444,36.1393743525,2.8864406745333335,0.21456746215,526.3957440567208,37.24425639842105,2.1893365518711394,2.0871387234622465,5.345242301944444,0.62424946,30.0,100.0
17,2056.4393427619048,37.15889820315789,2.036745888,0.24392089261111108,590.6476760436437,32.78054406222222,2.3850265109309414,2.1881676133805548,5.357850808736842,0.62389654,75.0,146.0
18,1896.3675780500002,37.242126273500006,1.6274484097,0.2982124326,1549.4445483958784,27.584023805294116,2.516420433206653,2.2220553477769145,4.151353438611111,0.6240801,47.0,25.0
19,1880.66950065,37.608009528500006,1.7120801397894736,0.27678384189473687,1342.766741902077,25.046556213,2.3754143591822237,2.1500129821341005,4.119984394888889,0.6241037,63.0,170.0
20,2174.9176087,36.394596100526314,2.5624223005789473,0.22386820236842103,602.229807257102,34.429105750000005,2.2008515806036986,2.0935620352000264,5.164428518055555,0.62429774,24.0,73.0
21,1840.9493408499998,37.5872148525,1.5682942185238093,0.29283572430000004,1476.8895468093276,26.566997813500002,2.4015990142584926,2.1591166764121703,3.942274507352941,0.6245608,70.0,192.0
22,1927.1016357,37.462593479999995,1.8619999259473685,0.2893047573,1265.0938026799536,26.424558903500003,2.314681175949569,2.140315525269701,4.268727057352941,0.6235356,57.0,43.0
23,2167.6173095999998,34.47419121588236,2.22357231375,0.21786372623809525,319.14375403936594,46.26835728444444,2.3296332189660975,2.2472910099535053,6.2837779992,0.6240954,81.0,155.0
24,2280.2439393,36.93118577764706,2.9830973964210528,0.22333852942105262,554.0498933520512,33.84690910842105,2.339634393971054,2.09845351375502,5.262002766,0.624683,36.0,118.0
25,2144.97407845,36.2442022335,2.51991471065,0.22508422057142857,577.5102807771759,34.124101947999996,2.183048177601251,2.1175276122915596,5.221996527263157,0.6241701,59.0,97.0
26,1949.2051682105264,37.44434296368421,1.9947243740526315,0.2686582719,1049.5362634807652,32.1345558,2.3877631473218184,2.1834838851113796,4.725559592266666,0.6245736,28.0,166.0
27,1824.0533961052631,37.58530317047619,1.527108725736842,0.30059745683333333,1587.944429100585,27.981985253157895,2.407213353138808,2.155980660885663,3.839319422142857,0.62396723,73.0,32.0
28,1869.1772256666668,37.67290657368421,1.593994379111111,0.2905242901904762,1488.4864892061241,26.908508098421052,2.4639167047219006,2.187681096395481,4.078095423055555,0.6246493,50.0,180.0
29,2045.2981445,37.464649401578946,2.1095651199473684,0.2563514424,932.2272273953605,29.4184648455,2.3217142257845875,2.097185436808284,4.526104556277778,0.6240991,67.0,62.0
30,2109.292265428571,37.01032066388889,2.418278116,0.2421496325238095,728.4153694721849,32.13906083111111,2.249059625958263,2.127444273855167,5.060041294823529,0.6244567,39.0,139.0
31,2239.07349845,35.997979737,2.4844180167000003,0.2126878398,302.72974012792895,41.9924188768421,2.247651620271642,2.192893341030914,6.106020933047619,0.62367475,78.0,83.0
32,1974.3744018500001,37.13782905235294,1.92785705335,0.2646068517142857,1007.2782306420964,30.198623790000003,2.4129732285122585,2.1435308084741878,4.314803931388889,0.62427306,45.0,158.0
33,1994.8083903809522,37.538366318499996,1.9994416059,0.26866636904761904,1091.365222847777,27.344215952105262,2.2804730865721115,2.098609219766346,4.426609943105263,0.62424606,56.0,51.0
34,2286.1180130000002,36.6500295645,2.817746308055556,0.21855401175,548.5874412038884,35.396543667500005,2.1911439926658027,2.129191551575428,5.9983164006875,0.6239036,22.0,121.0
35,2200.3657034210523,36.5840269085,2.5151893864761905,0.221414467,588.8434276470715,34.06550743555555,2.165167242345684,2.1195191482292977,5.347588810571429,0.62345785,65.0,89.0
36,2191.8102479,34.551722242,2.06731336115,0.22603919257894736,398.75479657147247,47.76687995736842,2.282010691161214,2.277910155541086,6.57794911035294,0.6243616,83.0,173.0
37,1864.4057557,37.234604244761904,1.6778275132,0.2913766285,1455.0629545318025,31.3675659215,2.458752233658619,2.198581100778849,4.288274031578948,0.62447834,48.0,35.0
38,1931.10354,37.62115823619048,1.781956613111111,0.2661803307619048,1115.987626300748,25.267965720526316,2.3933960348132466,2.14452676936768,4.3359905778125,0.6238238,72.0,148.0
39,2152.53746345,36.427757071500004,2.3952707231000003,0.2365352122631579,675.4723417183616,33.2494865935,2.121622507977987,2.096129653505407,5.098557456066667,0.623956,34.0,64.0
40,1854.15091555,37.622245407,1.5797522820526317,0.294426766,1486.5449988565877,25.529425650555552,2.4305714948738597,2.1755632548807093,4.0104244482222215,0.6247691,60.0,185.0
41,2218.1897844761907,36.025795936499996,2.581650446529412,0.2059187815625,523.5901232040977,39.1674015165,2.2128523686193646,2.151055753448159,5.93571525235,0.62403977,76.0,110.0
42,2143.95917068421,37.51961698,2.6317886795714287,0.24665176657894736,797.8634683924652,29.263143030000002,2.2766553891287304,2.0915817933319696,4.988335483277778,0.6235044,27.0,154.0
43,1917.2405363157893,37.198912238000005,1.7456416205789476,0.286369072,1473.9766413809705,29.9279293795,2.3645325739734337,2.1664630419322624,4.274869184,0.62396103,54.0,40.0
44,2134.46728515,35.26590086263158,2.1972208320625,0.24054569605555556,463.2069958793082,42.6070793768421,2.3011698826708074,2.244137198340699,6.075748394647058,0.6243558,79.0,168.0
45,2234.6993581904762,37.05418162944444,3.0364568484736845,0.2262339131111111,545.2196941947402,30.1088376355,2.0559033209702493,2.0429508104218495,5.2345794913,0.6238266,42.0,96.0
46,2079.7786926500003,37.55702362,2.3946843326,0.25221198610526313,800.3882449718817,26.893856059500003,2.2787900423849443,2.0984215763290415,4.771012292411765,0.6244775,69.0,131.0
47,1944.6311442857145,37.248246299444446,1.74600057,0.2832281053333333,1260.752423374613,27.977755854444446,2.551215057814733,2.214752311501128,4.163971477111111,0.6242126,32.0,181.0
48,2102.9802536666666,36.857887077499996,2.429110232866667,0.2447050746,749.4604696251585,31.28007346190476,2.159489577528405,2.107174871433684,4.990810575842105,0.6241324,66.0,72.0
49,2535.6682618,33.025522792941175,3.1520029545,0.1682957210952381,197.89479780827992,57.0671573685,1.910582208356921,2.197856197552658,7.068164488647059,0.623731,175.0,27.0
50,2534.1334595,32.125660123809524,3.084209508166667,0.1560904045,144.42424709868135,63.51720446944445,1.9236236484843052,2.2113433658981876,7.1700408010625,0.6236288,192.0,145.0
51,2441.0718355238096,35.8579868315,3.2405658608823527,0.18007704404761904,211.94773396551344,37.89651765894737,1.8594288450842251,2.045109409818477,6.600350590352941,0.6232187,181.0,86.0
52,2553.1950805,30.846004031428574,3.1116949633157898,0.16643436182352941,121.82465847985083,70.4246164105,2.081345139086443,2.2996518424550283,8.038483400777778,0.6227845,197.0,190.0
53,2638.38940425,31.56760065210526,3.2985653651428573,0.13682062363157893,95.6448388641443,64.362102805,1.9296764507033226,2.2531497794302773,7.76897813188889,0.62293106,170.0,62.0
54,2425.119698666667,35.43854994473684,3.1039113759,0.17917165210526315,176.9763214742585,45.864136504499996,1.8918076554641594,2.077350535324748,6.9322808235625,0.6236385,188.0,120.0
55,2723.803495952381,30.40055293095238,3.2954822837499997,0.13305753368421053,50.62921013889633,70.68504065900001,2.1289499659523763,2.3453833002159277,9.36282997964706,0.6236229,100.0,77.0
56,2446.8737214210523,32.07983589105263,2.772117464105263,0.1723845576,204.33531494682427,60.19601310095238,2.174348418197165,2.288541066126475,7.5440877548421055,0.62355816,131.0,165.0
57,2838.7591494761905,29.825293677619047,3.7151361306666666,0.1087261070952381,42.943404988971,76.86493275380953,2.001056864021805,2.3523243806946965,10.086056782375,0.6233674,117.0,103.0
58,2683.4202148,33.279617404999996,3.79874797868421,0.14072141505,139.4600523393744,59.40182672526316,2.042263140867322,2.2005293793914302,8.15857726415,0.6230815,148.0,136.0
59,2610.7580449523807,30.743107343684212,3.101233767111111,0.14494892785714286,75.40173917452786,67.192319873,2.1472500963173484,2.3824057372732153,9.02782425925,0.62414026,95.0,68.0
60,2517.86380015,31.7139421455,2.919476138894737,0.17811167288888888,172.70450794897508,61.50934603588236,2.166857538647509,2.287203214704783,7.754353780052632,0.6239582,141.0,157.0
61,2787.7912307142856,30.9069827847619,4.002469370210527,0.11996078519047619,57.132451395818904,70.82271923350001,1.948721333932984,2.2687909118916876,8.620347266500001,0.6233863,124.0,120.0
62,2872.5444801904764,30.30428725894737,3.8553802841578944,0.10984776975000002,33.68924843571072,74.30540641555555,2.042600970986976,2.3348007094283467,9.6171449815,0.6240075,109.0,91.0
63,2523.003437210526,33.18778499842106,3.3065892636000003,0.17652371570588235,185.88183267056272,59.166144807368426,1.953896268573006,2.2022592163318624,6.995560884588236,0.623339,154.0,178.0
64,2705.4380463809525,32.75481364473685,3.823150289736842,0.13388132410526316,94.88592040291338,59.04764165736842,2.011297168805506,2.225374187114698,8.229541064611112,0.6234745,106.0,140.0
65,2805.332339333333,31.306342653888887,3.595756348411765,0.12161758325000001,55.98218177600991,72.18537812,2.0369568419204773,2.31432135208723,9.1026263594,0.62331927,137.0,83.0
66,2484.059465619048,33.87065919166667,3.2563688755999998,0.18127312594444445,213.68208927442217,54.923247787499996,2.062068091990812,2.211168614999979,6.7853975669375,0.62332016,119.0,171.0
67,2672.7310850000003,30.319710580526316,3.111026895631579,0.13221292266666668,53.64629733301922,73.12271062761904,2.136832773598748,2.3678294581627113,8.819816688944444,0.6236928,97.0,114.0
68,2790.9622619499996,30.6865170485,3.5792444663529412,0.12094063299999999,54.03240953762571,68.57538925421053,1.9834629329103488,2.292378619677836,8.944154521,0.62306726,145.0,97.0
69,2736.8137904761907,31.553204085263157,3.6804468213999995,0.13974342578947369,70.30836546630916,67.90850354444444,2.0178378811400353,2.275754879722328,9.017660145631579,0.62384796,112.0,62.0
70,2583.1099548499997,32.91360563470588,3.380933767894737,0.15672366545,161.3636087028251,59.871335367368424,2.05815261028789,2.233770643436966,7.749289706578947,0.6231556,129.0,150.0
71,2522.04684455,32.85858907210527,3.0680109990555557,0.17615219777777777,182.71969127627486,58.07321997285714,2.0727112556524956,2.2288893657822717,6.7837749826666665,0.6233824,151.0,166.0
72,2266.4908389523807,35.326044178000004,2.657705580529412,0.20455071336842107,454.35558008825114,43.558573016500006,2.142440002703402,2.1425953582885064,5.803462129904762,0.6236981,23.0,94.0
73,1999.06823735,37.2517253875,2.0486441016,0.25279126078947367,902.3700644539282,29.173745017999998,2.29401025045738,2.1310540552233097,4.675183359470588,0.6241306,57.0,142.0
74,2227.251958904762,35.67680539526316,2.3127927661000003,0.23095758594117646,303.55387291876883,42.221030504210525,2.316510944502171,2.2242839714584393,6.094385405277778,0.62378395,80.0,61.0
75,1856.7931257142857,37.716852087894736,1.494784781736842,0.2975662860526316,1592.936975443183,26.9911904745,2.5292845483237945,2.210575941973944,4.131778703944445,0.6241076,45.0,187.0
76,2141.6939026,36.538012560588236,2.3372722148,0.2309478624,661.3195921590676,38.31271394777778,2.230032089458375,2.146569869429234,5.427186297222223,0.62379384,68.0,108.0
77,2332.7957276,35.722121027777774,2.819442894833333,0.20393768755555555,366.70304778879057,42.80122437047619,1.9583638778863894,2.1229206521120547,5.825882434705882,0.62361217,173.0,153.0
78,2870.4612862380955,30.728205681500004,3.9801907259411764,0.10926631257142856,32.868923661784095,74.97512021142857,1.9353456442530579,2.301360942054978,9.296558001764705,0.623346,103.0,71.0
79,2497.2011353499997,32.43364916833333,3.054850245894737,0.17300857894736843,192.0580965887616,58.895278795,2.090863119870933,2.2791924645382444,7.168913139374999,0.6235745,138.0,164.0
80,2855.494590473684,30.0418298725,3.622364470842105,0.10844888305263159,41.30106406785947,75.28502915894737,2.0466983424773826,2.3828005583979195,9.470785155117646,0.6238604,120.0,97.0
81,2653.4191059473683,33.40613227555556,3.40343081945,0.15487261895238094,136.71795133006853,55.9986068505,2.0816632472088057,2.2484210872952364,8.402642068947369,0.6230566,146.0,141.0
82,2674.3214645,31.177148532500002,3.7207292318947367,0.1357197727,76.50645551523783,62.69774288222223,1.9769512467548849,2.294371341996725,8.573479159333333,0.6237073,110.0,130.0
83,2529.98223,32.60419012368421,3.2764281715714287,0.16683917936842105,184.5800201431307,57.355681497,2.061174851603304,2.204969749933256,7.318159892875,0.62352026,153.0,175.0
